Project name,Company,Location (country),Location (area),Manufacturing component(s),Current Capacity (in GWh/year),Future Capacity (in GWh/year),Capital investment (in million euros),Jobs,Announcement date (actual or expected),Investment date (actual or expected),Operation date (actual or expected),Current status
ACC Douvrin,Automotive Cells Company (ACC),France,Billy-Berclau/Douvrin,Cell manufacturing,13.0,40.0,,600.0,30-05-2023,,end of 2023,operational
Kaiserslautern ACC Battery Cell Plant,Automotive Cells Company (ACC),Germany,Kaiserslautern,"Cell manufacturing, module assembly",0.0,24.0,2000.0,2000.0,01-01-2020,01-01-2023,01-01-2025,investment made
ACC Termoli,"Stellantis, TotalEnergies/Saft, Mercedes-Benz",Italy,Termoli,"Cell manufacturing, module assembly",,40.0,,2000.0,23-03-2022,2024,2026,announced
Basquevolt Vitoria-Gasteiz,Basquevolt,Spain,Vitoria-Gasteiz,Cell manufacturing,,10.0,700.0,800.0,2022-06-16,2025,2027,announced
Beyonder Haugaland,Beyonder,Norway,Haugalandet,Cell manufacturing,,,,2000.0,2022-04-04,,,announced
Sines Lithium Battery Unit,China Aviation Lithium Battery Technology (CALB),Portugal,Sines,"Cell manufacturing, electrode manufacturing, battery casing manufacturing, battery assembly",0.0,15.0,,,2022-11-02,,2025-12-31,announced
CATL Thuringia,Contemporary Amperex Technology Co. Limited (CATL),Germany,Thuringia,"Cell manufacturing, module assembly",8.0,14.0,1800.0,1500.0,2019-04-04,2022-12-31,2022-12-31,operational
Debrecen,"Contemporary Amperex Technology Co., Limited (CATL)",Hungary,Debrecen,"Cell manufacturing, module assembly",,100.0,7340.0,,2022-08-12,2022-08-12,,announced
VENERGY+,Envision AESC,Spain,Navalmoral de la Mata,"Cell manufacturing, module assembly",10.0,30.0,1000.0,3000.0,2022-07-18,2025-01-01,2025-01-01,operational
Eve Energy Debrecen,Eve Energy,Hungary,Debrecen,Cell manufacturing,28.0,,1000.0,1000.0,2023-05-09,2023-05-09,2026-01-01,announced
Mo i Rana,FREYR Battery,Norway,Mo i Rana,"Cathode casting, unit cell assembly",,35.0,,,2023-11-29,2022-07-09,2022-07-09,operational
FREYR Vassa,FREYR Battery,Finland,Vaasa,Cell manufacturing,,43.0,,,2021-08-12,2022-05-01,2025-01-01,announced
InoBat Production Facility,InoBat,Slovakia,Voderady,"Cell manufacturing, module assembly",0.0,4.0,91.0,0.0,01-01-2019,,,announced
Valladolid,InoBat Auto,Spain,Valladolid,"Cell manufacturing, module assembly",,,,,2022-10-19,,,announced
Scarmagno Gigafactory,Italvolt,Italy,Scarmagno and Romano Canavese,"Cell manufacturing, module assembly",45.0,,4000.0,3000.0,2021-02-18,2021-09-01,2024-07-01,operational
LG Energy Wroclaw,LG Energy Solution,Poland,Wroclaw,"Cell manufacturing, module assembly",70.0,,,,2023-08-30,,,operational
Arendal Battery Cell Factory,Morrow Batteries,Norway,Arendal,Cell manufacture,,42.0,,2500.0,2021-05-28,2023-05-28,2024-12-31,operational
Volvo-Northvolt Gothenburg Battery Plant,Volvo Cars and Northvolt,Sweden,Gothenburg,Cell manufacturing,0.0,50.0,30000.0,3000.0,2022-02-04,2023-10-01,2026-12-31,investment made
Northvolt Skelleftea,Northvolt,Sweden,Skellefteå,"Cell manufacturing, module assembly",0.0,60.0,2750.0,6000.0,,2023-08-22,2023-01-01,operational
Phi4Tech Badajoz,Phi4tech,Spain,Badajoz,"Cell manufacturing, cathode manufacturing",0.0,20.0,1000.0,1600.0,24-03-2021,,2027,announced
Dunkirk Gigafactory,ProLogium,France,Dunkirk,"Cathode/anode active material manufacture, cell manufacture, module assembly",,48.0,5200.0,3000.0,2023-05-13,2024-09-30,2026-12-31,announced
QS-1,QuantumScape,Germany,Salzgitter,Cell manufacture,1.0,21.0,,,2021-05-16,,,announced
Samsung SDI God expansion,Samsung SDI,Hungary,"Göd, near Budapest",Cell manufacturing,30.0,40.0,740.0,0.0,2021-02-24 00:00:00,,,announced
SK On Ivancsa,SK Innovation,Hungary,Iváncsa,Cell manufacturing,30.0,30.0,1623.0,2500.0,2021-01-29,2021-01-01,2024-01-01,operational
SK On Komarom 1,SK Innovation,Hungary,Komarom,Cell manufacturing,7.0,30.0,1160.0,2500.0,2021-07-20,2021-07-20,2024-01-01,announced
SK On Komarom 2,SK Innovation,Hungary,Ivancsa,Cell manufacturing,7.0,30.0,1160.0,2500.0,2020-05-19,2021-07-20,2024-01-01,announced
SVOLT Brandenburg,"SVOLT Energy Technology Co., Ltd.",Germany,"Lauchhammer, Brandenburg",Cell manufacturing,16.0,32.0,,,09-09-2022,end of August 2022,Early 2025,Announced
SVOLT Saarland,SVOLT,Germany,Saarland,"Cell manufacturing, module assembly",0.0,32.0,,,2020-11-01,2022-08-31,2027-02-01,announced
Gigafactory Berlin-Brandenburg Expansion,"Tesla, Inc.",Germany,Grünheide (Mark),"Battery production, vehicle assembly",,100.0,4000.0,11500.0,12-11-2019,22-03-2022,01-01-2024,operational
Verkor Dunkirk Gigafactory,Verkor,France,Dunkirk,Cell manufacturing,16.0,50.0,2000.0,1200.0,2022-02-01,2023-09-14,2025-07-01,investment made
Salzgitter Battery Factory,Volkswagen,Germany,Salzgitter,"Cell manufacturing, module assembly",,40.0,20000.0,,2022-07-07,2023-04-01,2025-01-01,announced
Valencia,Volkswagen,Spain,Sagunt,"Cell manufacturing, module assembly",40.0,60.0,63000000.0,3000.0,2022-03-17,2023-01-12,2026-01-01,investment made
